kota,kontak1,kontak2,puncak,kontak3,kontak4,jam,menit,detik,magnitude
Banda Aceh,0,0,0,0,0,0,0,0,0
Sabang,0,0,0,0,0,0,0,0,0
Jantho,0,0,0,0,0,0,0,0,0
Calang,10.43.27.2,0,10.46.42.9,0,10.49.46.9,0,6,19.7,0.001
Sigli,0,0,0,0,0,0,0,0,0
Meulaboh,10.28.05.8,0,10.46.41.5,0,11.05.29.1,0,37,23.3,0.022
Meureudu,10.43.45.5,0,10.49.09.1,0,10.54.22.7,0,10,37.2,0.002
Suka Makmue,10.26.55.4,0,10.47.05.1,0,11.07.30.9,0,40,35.5,0.026
Sinabang,10.12.45.6,0,10.43.38.6,0,11.15.28.2,1,2,42.6,0.065
Bireuen,10.35.35.6,0,10.50.00.6,0,11.04.27.8,0,28,52.3,0.013
Takengon,10.28.01.4,0,10.49.00.4,0,11.10.17.3,0,42,15.9,0.028
Blangpidie,10.20.19.4,0,10.47.10.3,0,11.14.38.9,0,54,19.5,0.048
Simpang Tiga Redelong,10.28.42.6,0,10.49.12.4,0,11.09.58.7,0,41,16.2,0.027
Lhokseumawe,10.31.37.0,0,10.50.44.7,0,11.10.05.1,0,38,28.1,0.023
Tapak Tuan,10.15.29.7,0,10.46.48.9,0,11.19.04.1,1,3,34.4,0.066
Lhoksukon,10.29.04.0,0,10.50.46.7,0,11.12.48.9,0,43,44.9,0.030
Blang Kejeren,10.20.18.7,0,10.48.36.1,0,11.17.36.0,0,57,17.3,0.053
Idi Rayeuk,10.25.33.1,0,10.51.25.2,0,11.17.49.4,0,52,16.3,0.043
Singkil,10.07.31.0,0,10.45.54.4,0,11.25.48.3,1,18,17.3,0.101
Kutacane,10.14.52.6,0,10.48.25.5,0,11.23.02.6,1,8,9.9,0.075
Langsa,10.21.14.3,0,10.50.47.6,0,11.21.06.6,0,59,52.3,0.057
Subulussalam,10.09.25.4,0,10.47.04.3,0,11.26.08.3,1,16,42.9,0.097
Karang Baru,10.19.43.9,0,10.50.35.3,0,11.22.17.6,1,2,33.7,0.063
Medan,10.13.10.9,0,10.50.16.6,0,11.28.40.8,1,15,29.8,0.092
Lotu,10.03.29.6,0,10.43.16.6,0,11.24.45.3,1,21,15.7,0.111
Lahomi,10.01.08.5,0,10.42.41.0,0,11.26.05.9,1,24,57.5,0.122
Gunung Sitoli,10.02.25.8,0,10.43.29.0,0,11.26.20.6,1,23,54.7,0.118
Gunung Sitoli,10.02.04.3,0,10.43.26.9,0,11.26.39.7,1,24,35.4,0.120
Teluk Dalam,09.58.28.1,0,10.42.20.9,0,11.28.20.5,1,29,52.3,0.137
Sidikalang,10.09.06.2,0,10.47.50.0,0,11.28.03.3,1,18,57.1,0.102
Salak,10.07.59.3,0,10.47.27.3,0,11.28.29.1,1,20,29.8,0.107
Stabat,10.14.44.3,0,10.50.10.2,0,11.26.47.0,1,12,2.7,0.084
Binjai,10.13.46.3,0,10.49.56.4,0,11.27.21.0,1,13,34.7,0.088
Kabanjahe,10.10.46.0,0,10.48.56.6,0,11.28.32.6,1,17,46.6,0.099
Panguruan,10.07.08.5,0,10.48.12.2,0,11.30.57.0,1,23,48.6,0.116
Sibolga,10.02.42.3,0,10.46.36.1,0,11.32.29.3,1,29,47.0,0.135
Dolok Sanggul,10.05.19.6,0,10.47.41.0,0,11.31.51.2,1,26,31.6,0.124
Pandan,10.02.18.0,0,10.46.34.2,0,11.32.51.8,1,30,33.8,0.137
Lubuk Pakam,10.12.27.4,0,10.50.33.2,0,11.30.01.9,1,17,34.5,0.098
Parapat,10.07.09.5,0,10.48.50.5,0,11.32.14.9,1,25,5.4,0.119
Tarutung,10.03.48.1,0,10.47.31.5,0,11.33.11.5,1,29,23.4,0.133
Balige,10.05.15.7,0,10.48.20.5,0,11.33.16.9,1,28,1.2,0.128
Pematangsiantar,10.08.37.0,0,10.49.40.3,0,11.32.22.4,1,23,45.5,0.115
Sei Rampah,10.11.29.3,0,10.50.55.1,0,11.31.49.6,1,20,20.2,0.105
Tebing Tinggi,10.10.27.8,0,10.50.39.0,0,11.32.23.0,1,21,55.1,0.109
Padang Sidempuan,10.00.02.7,0,10.46.45.6,0,11.35.43.8,1,35,41.1,0.154
Sipirok,10.00.41.3,0,10.47.06.4,0,11.35.44.3,1,35,3.1,0.152
Limapuluh,10.09.03.1,0,10.50.48.0,0,11.34.13.5,1,25,10.4,0.119
Panyabungan,09.56.50.7,0,10.46.07.3,0,11.37.55.9,1,41,5.2,0.174
Kisaran,10.07.40.8,0,10.50.46.5,0,11.35.39.7,1,27,59.0,0.127
Gunung Tua,10.00.05.9,0,10.47.39.2,0,11.37.30.7,1,37,24.8,0.160
Aek Kanopan,10.05.22.1,0,10.49.57.9,0,11.36.30.7,1,31,8.6,0.137
Sibuhuan,09.57.49.5,0,10.46.56.6,0,11.38.33.0,1,40,43.5,0.172
Tanjung Balai,10.07.10.1,0,10.51.03.5,0,11.36.47.9,1,29,37.8,0.132
